STATE_UT,DISTRICT,ALERT_CONFIRMED,alert_count
Andhra Pradesh,Alluri Sitharama Raju,CRITICAL_GROUNDWATER,14
Andhra Pradesh,Alluri Sitharama Raju,DEPLETION_WARNING,8
Andhra Pradesh,Alluri Sitharama Raju,RECOVERY_SIGNAL,6
Andhra Pradesh,Alluri Sitharama Raju,SUDDEN_DROP,3
Andhra Pradesh,Anakapalli,CRITICAL_GROUNDWATER,4
Andhra Pradesh,Anakapalli,DEPLETION_WARNING,8
Andhra Pradesh,Anakapalli,RECOVERY_SIGNAL,5
Andhra Pradesh,Anakapalli,SUDDEN_DROP,2
Andhra Pradesh,Ananthapuramu,CRITICAL_GROUNDWATER,7
Andhra Pradesh,Ananthapuramu,DEPLETION_WARNING,2
Andhra Pradesh,Ananthapuramu,RECOVERY_SIGNAL,6
Andhra Pradesh,Ananthapuramu,SUDDEN_DROP,8
Andhra Pradesh,Annamayya,CRITICAL_GROUNDWATER,3
Andhra Pradesh,Annamayya,DEPLETION_WARNING,4
Andhra Pradesh,Annamayya,RECOVERY_SIGNAL,12
Andhra Pradesh,Annamayya,SUDDEN_DROP,9
Andhra Pradesh,Bapatla,CRITICAL_GROUNDWATER,9
Andhra Pradesh,Bapatla,DEPLETION_WARNING,2
Andhra Pradesh,Bapatla,RECOVERY_SIGNAL,2
Andhra Pradesh,Chittoor,CRITICAL_GROUNDWATER,1
Andhra Pradesh,Chittoor,RECOVERY_SIGNAL,5
Andhra Pradesh,Chittoor,SUDDEN_DROP,4
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAinavilli,CRITICAL_GROUNDWATER,2
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAinavilli,DEPLETION_WARNING,3
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAinavilli,RECOVERY_SIGNAL,1
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAinavilli,SUDDEN_DROP,1
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAmalapuram,CRITICAL_GROUNDWATER,1
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAmalapuram,DEPLETION_WARNING,2
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAmalapuram,RECOVERY_SIGNAL,1
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAmbajipeta,CRITICAL_GROUNDWATER,4
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAmbajipeta,DEPLETION_WARNING,1
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaAtreyapuram,SUDDEN_DROP,2
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaI. Polavaram,CRITICAL_GROUNDWATER,7
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaKothapeta,CRITICAL_GROUNDWATER,1
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaKothapeta,RECOVERY_SIGNAL,4
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaKothapeta,SUDDEN_DROP,4
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaMalikipuram,SUDDEN_DROP,1
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaMamidikuduru,CRITICAL_GROUNDWATER,1
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaMandapeta,DEPLETION_WARNING,1
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaMummidivaram,CRITICAL_GROUNDWATER,2
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaPamarru,RECOVERY_SIGNAL,1
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaPamarru,SUDDEN_DROP,1
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaRavulapalem,CRITICAL_GROUNDWATER,5
Andhra Pradesh,Dr. B.R. Ambedkar KonaseemaRavulapalem,RECOVERY_SIGNAL,2
